unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
145,c388378a-1f99-4d66-a06f-660a22564c4c,Lover Realizes She Was Tricked,وإنّ صديقها رجع من ليلته من عند الملك فلبس الملاءة ثمّ !أقامها فلمّا رأته جاءت إليه وقالت له ما شأنك لقد أسرعت الكرّة بعد قضاء حاجتك فعرف أنّه قد دُهي,وإنّ صديقها رجع من ليلته تلك إلى منزله وكان العبد قد فضحها فلبس الملاءة ثمّ جاءها فلمّا رأته أتته وقالت له ما حالك لقد أسرعت العودة فعرف أنّه قد دُهي,ولمّا مضت هدأة من الليل رجع المصوّر إلى بيته فلبسها ثمّ أتى المرأة فلمّا رأته دنت منه وقالت له ما شأنك لقد أسرعت العودة بعد قضاء حاجتك فلمّا سمع كلامها عرف أنّه قد دُهي,وكان المصوّر في بيته غائبًا فلمّا مضى من الليل هدأة رجع المصوّر إلى بيته فلبس الملاءة فأتى المرأة فلمّا رأت الملاءة دنت منه فقالت ما شأنك أسرعت الرجعة وقد قضيت حاجتك فلمّا سمع المصوّر ذلك خبت نفسه,وكان المصوّر عن بيته غائبًا فلمّا هدأ الليل رجع إلى بيته فلبس الملاءة على عادته وتراءى للمرأة فلمّا رأته دنت منه فقالت له لقد أسرعت الرجعة ألم تكنْ عندي وقضيت حاجتك فماذا العود فلمّا سمع المصوّر كلامها خبثت نفسه ولطم على رأسه ورجع إلى منزله,,فلمّا مضى من الليل نصفه عاد المصوّر إلى منزله ولبس الملاءة ثمّ أتى إلى المرأة فلمّا رأته مقبلًا أتت إليه مسرعة وقالت له لقد أسرعت في الرجعة أما قد قضيت حاجتك فما الذي أتى بك ثانية
146,911a533c-cb2f-45e2-aa22-c386228bd74c,Painter realizes keeper was tricked,,,,,,,
147,f4434f66-6cd3-4592-bd2f-70155765ed70,The Lover's Servant Confesses,فرجع إلى منزله فأخذ جاريته فأوجعها ضربًا فأخبرته الخبر فأخذ الملاءة وأحرقها بالنار وباع الجارية,فرجع إلى منزله فأخذ وليدته فأوجعها ضربًا فحدّثته بالخبر فأخذ الملاءة فأحرقها,ومضى من وقته إلى وليدته فأوجعها ضربًا فحدّثته الحديث فأخذ الملاءة فخرقها وأحرقها,ورجع نحو منزله ودعا والدته فتوعّدها بالضرب حتّى أخبرته بالأمر على وجهه فأحرق المصوّر الملاءة,فدعا جاريته فخوّفها وتواعدها بالضرب أو لتخبرنّه بالحقيقة فأخبرته فأحرق المصوّر الملاءة مكانها,وأوفى المصوّر المكان فسمع حديثها وأوعدها بالضرب حتّى أخبرته بحقيقة الخبر فعمد المصوّر إلى الملائة ومزّقها,فانصرف ولم يدنو منها وأخذ زوجته فأوجعها ضربًا فأخبرته الخبر كلّه فحرّق الملاءة وندم على تعريضه إلى ما شاركه فيه غيره
148,6929fa87-a732-4bbf-af62-7b09fcb15b7e,Dimna Opposes Acting Upon Doubt,وإنمّا ضربت لك هذا المثل لئلّا يعجل الملك في أمر شبهة له فيحتمل الوزر والإثم,وإنّما ضربت لك هذا المثل لئلّا تعجل لأنّه من سعى بالشرّ يتحمّل الإصر والوزر,وإنّما ضربت لك هذا المثل لئلّا تعجل لأمر فيه تشبيه وكذب فإنّ الكذب *مُعيب لصاحبه وأنت بالنظر في أمري جدير,وإنّما ضربت لك هذا المثل لتعلم أنّ التشبيه كذب,وإنّما ضربت لكم هذا المثل لتعلموا أنّ الشبهة مأثمة,وإنّما ضربت لك هذا المثل !لتعلمي أنّ الشُبهة كذبٌ فإنّ الكذب مأثمةٌ لصاحبه,وإنّما ضربت لك هذا المثل لئلّا تعجل في أمر قد اشتبه عليك فيتحوّل الضرر والوزر فإنّ من الشبهة أشياء كثيرة فيها عيب وضرر
149,ba7d8209-3d9b-4ff5-a823-92e4e6465090,Dimna Applies the Tale's Deception to Ox to Justify His Killing,,,,وأنت أيّها الملك والحمد لله الفاضل الرأي العظيم الحلم والعالم بالأمور وقد رأى الملك من تشبيههم ما قد استبان من عداوة الثور حتّى استحلّ بذلك قتله وإنّ ذلك جدير أن يمنعه من الإقدام على قتلي مع علمه لنصيحتي له وحفظي له من وزرائه,,,وقد علمت أيّها الملك بفضل ما أعطاك الله تعالى وفضّلك به فلا تعجل في أمري لئلّا يدخل عليك في آخرتك نقص وقد كان بانَ للملك حال الثور وعداوته ومعالجته للقتال فما ينبغي لك أن تشكّ في ذلك ولا تحزن على قتله ولا تتأسّف على موته ومن كان مثلك من الملوك في الحلم والعلم والكرم والرأي السديد أن <لا> يصحّ عليه كلام أهل الفجور
150,ff7b51f3-e958-4a59-b721-1848b95697c7,Lion Should not Kill Dimna Based on Slander,,,,,,,
151,868818b2-cb3b-4e4b-91a4-2ac6ddee51fd,Dimna Claims Status of Minor Servant,,,,إلى ما قد علم الملك من منزلتي في نفسي من خشانة الحال وصغر الحظّ وأنّي لا أقدر على رفع نفسي عن نسبة العبوديّة ولا أطمع فيما يسمو إليه من فوقي,,,
152,20ffc19f-08f1-4848-8cf1-7099f05cc948,Dimna Denies Fear of Death,ولست أقول ما تسمعون شفقًا من الموت فإنّه وإن كره فلا *منجى ولا محيص عنه وكلّ حيّ هالك,ولست أقول ما تسمع فرقًا من الموت فإنّه وإن كان كريهًا فلا منجى منه ولا محيص عنه وكلّ حيّ هالك ولو كانت له مائة نفس,ولست أقول ما تسمع شفقًا من الموت فإنّه وإن كان كريهًا لا منجى منه ولا محيصٌ عنه,وأنا وإن كنت عند الملك صغير الحظّ أجد من عدله نصيبًا أعرف أنّ الملك معطينيه من نفسه في حياتي وبعد موتي يهون عليّ الموت,,,مع أنّي يهون عليّ الموت إذا علمت أنّ الملك يصحّ منه ذلك بالموافقة إذا قتلني
153,a29eeeeb-e289-4367-9d6c-aa7e68aff195,The Sinner Who Accepts Death Is Saved in Hereafter,,,,فإنّ العلماء قالوا من أصاب خطيئة وإثمًا ثمّ أسلم نفسه للقتل فدفع بها عن الصالحين عُفي عنه يوم القيامة ونجا من الشرّ الدائم في الآخرة,قال دمنة قد عرفت صدق مقالتك وقد قالت العلماء لا تجزع من العذاب إذا وُقف منك على الخطيئة *ولأن تُعذّب في الدنيا بجرمك خير لك من أن تُعذّب به في الآخرة في جهنّم مع الأثمة,,فإنّ العلماء قد قالوا من أصاب خطيئة أو إثمًا ثمّ أسلم نفسه للقتل يُعدّ من الصالحين ويُعفى عنه يوم القيامة وينجّيه ذلك في الآخرة من عذاب النار
154,6e79bf0b-cc48-4c0d-b124-a94ed78124b2,Dimna Would Die for Lion,ولو كانت لي مائة نفسٍ وعلمت أنّ الملك رأيه فى تَلَفهنّ لجدت بهنّ,,ولو كنت أعلم لي مائة نفس أعلم هواه في تلفها جُدت بها له,وأحبّه إن قد علمت أنّ الملك يطمئنّ ويفرح ويسكن إذا قتلني,,,فينبغي لمثلي أن يسلّم نفسه فداء عن الصالحين ولو كانت له مائة نفس لكنت حقيقًا أن أسلّمها في رضاء الملك
