unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
1,98cc0341-3d81-4a5f-bf79-19731e64dea0,Chapter Title,باب البحث عن أمور دمنة,باب الفحص عن أمر دمنة,باب الفحص عن أمر دمنة,باب الانبحاث عن أمر دمنة,باب الفحص عن أمر دمنة,الباب الثاني وهو باب البحث عن أمر دمنة,باب الفحص عن أمر دمنة
2,59711c22-7b14-41b7-ad76-a1d135c18cda,On Seeking One's Benefit by Others' Harm,,,,,,وهو مثل من يطلب المنفعة لنفسه بضرر غيره ويُهلك البريء بالقذف والكذب,
3,b3602c66-ec2c-4263-9745-f0d0d4c67677,Frame Dialogue,,,,,,,
4,04aed540-9d09-45e8-bfa2-dc8380ee79ce,The Philosopher Shows a Minor Animal to Sow Discord,,,,,,,قال الفيلسوف فكان من صنيع دمنة على صغره وضعفه وهو من أرذل السباع وأخبثها وأدبرها وكان ممّن شأنه ما قد سمعته وما صنع وما طرح بين الأسد والثور وما شعث بينهما حتّى وثب كلّ واحد منهما على صاحبه حتّى قطع ودّهما
5,9c13a18e-cc49-482e-bc05-d06605c3b8c6,Dimna's Deed Makes the Intelligent Reflect,,,,,,,وصنع العجائب بينهما ما تذهل عنه العقول [وذوي] *والألباب وفيه عبرة لذوي العقول في *الاتقاء لأهل النميمة والنظر فيما يوردون من تعبهم ومكرهم وسعايتهم
6,e39b3279-de87-41be-91ad-0f51daad806a,The Intelligent Must Verify Statements,,,,,,,فذووا الألباب حقيقون أن يتحفّظوا عن الأشياء المذمومة ثمّ لا يقدموا على شيء من أقاويلهم إلّا بعد التثبّت والنظر ويرفضوا من عرفهم على مثل ذلك من أهل السعاية والنميمة فإنّه من أحزم الرأي وأسعد السعادة وأحمد في عواقب الأمور
7,e3323699-ba55-4cfd-8a70-32784de2101a,The King Asks about Dimna's Fate,قال الملك للفيلسوف قد فهمت هذا المثل عن الواشي المحتال [[هذا المثل عن]] حيث أفسد اليقين بالشبهة حتّى أزال المودّة وجعل مكانها العداوة والبغضاء حتّى ما كان من أمر دمنة بالاعتذار حين أمر الأسد بقتله,قال الملك للفيلسوف قد فهمت كلامك فأخبرني ما كان من اعتذار دمنة [[حتّى]] {حين} أمر الأسد بقتله,قال ديشلم ملك الهند *لبيدبا الفيلسوف قد سمعت خبر الواشي المحتال الماهر بالخلابة كيف يفسد بتشبّهه وتلبيسه الودّ الثابت بين المتحابّين فأخبرني إلى ما آل إليه أمره وما كانت عاقبته,قال الملك للعالم قد سمعت حديثك عن الواشي المختال الماهر بالخلابة كيف أفسد النفس بالشبهة حتّى أزال المودّة وأدخل مكانها العداوة فحدّثني ما كان من معذرة دمنة للأسد وجنوده حتّى راجع الأسد رأيه في أمر الثور وأدخل التهمة على دمنة وأمر به أن يُقتل شرّ قتلة وكيف اطّلع على عدوّه وما كان حجّته التي أدلى بها,قال ديشلم الملك لبيدنا الفيلسوف رأس الفلاسفة قد حدّثتني عن الواشي الماهر بالخلابة وكيف يفسد الودّ بين المتحابّين فحدّثني إن رأيت ما قال دمنة بعد قتل شتربة وما كان عذره إلى ما صار إليه دمنة,قال ديسلم الملك لتنديا الفيلسوف قد حدّثتني عن الفاجر الماكر الغادر كيف يفسد بالنميمة والمكر الودّ الثابت بين المتحابّين فحدّثني ما يؤول إليه أمر الواشي بينهما إذا اتضّح سعيه بالباطل,قال ديشلم لبيدبا رأس الفلاسفة أخبرني عن الواشي المحتال الماهر في الخيانة كيف يفسد الودّ الثابت بين المتحابّين وحدّثني كيف كان غدر دمنة للأسد حتّى قتل الثور وما كانت حجّته عنده إلى ما صار إليه أمره وكيف اطّلع على فعله وسوء تدبيره وحيله ومكره
8,a3a8e80d-f7ff-4d90-8295-174ceff072d0,The Philosopher Mentions Dimna's Trial Parable,,,,,,قال الفيلسوف إنّ الفاجر الغادر الساعي بالنميمة والكذب تكون عاقبة أمره إلى ما يكره ومن أمثال ذلك ما كان من دمنة بعد قتل شتربه وندامة الأسد عليه وحين راجع رأيه ونظر في أمره واطّلاعه على غدره وما كان حجّته ومناظرته,
9,d71b9861-5fbe-42af-916f-ad8e72329ede,The King Requests the Parable,,,,,,قال الملك وكيف كان ذلك,
10,da6355bd-d16b-4829-bb87-0e8d4bf621bc,The Philosopher's Answer About the King's Killing,قال الفيلسوف أيّها الملك بلغنا أنّ الأسد لمّا قتل شتربة ومرّ لذلك أيّام ندم على معالجته إيّاه بالقتل وكان يطيل مسامرة أصحابه عليه ليستسلي عن غمّه,قال الفيلسوف بلغنا أنّ الأسد لمّا قتل شتربة ومرّ عليه أيّام ندم على معاجلته إيّاه بالقتل وكان يطيل مسامرة أصحابه,قال بيدبا إنّا وجدنا في الكتب أنّ الأسد لمّا قتل شتربه ومرّ لذلك أيّامٍ,قال الفيلسوف وجدنا في الأحاديث أنّ الأسد لمّا قتل الثور ندم على معاجلته إيّاه وذكر حرمته وصحبته وكان يطيل مسامرة أصحابه ليقطع عن نفسه بحديثهم بعض ما دخله من الحزن والكآبة,قال بيدنا إنّا وجدنا في كُتُب دمنة واعتذاره أنّه لمّا قتل شتربة كان الأسد يطلب منادمة أصحابه ليقطع بذلك عنه بعض همّه,قال الفيلسوف إنّ الأسد لمّا قتل شتربه ندم على قتله وذكر صحبته وعقله وحسن رأيه وخدمته لكونه كان من جملة أصحابه وقريبًا منه,قال إنّه لمّا قتل الأسد الثور ندم على قتله وعلى عجلته في أمره وتذكّر خدمته له ونصيحته إيّاه وما كان يطيل حديثه مع أصحابه ليقطع عنه ما يداخله من الحزن والكآبة على قتل الثور
11,689b67bf-5bc3-4708-ab4b-d05d317e532e,Narrative Transition from Lo,,,,,,,
12,14bd21cf-184a-4153-b4d0-2473fc07a9c3,A Leopard Was the Lion's Confidant,وكان من جنود الأسد وقرابته نمر كان من أكرم أصحابه عليه وأخصّهم به,فلمّا كان ذات ليلة خرج النمر وكان معلّم الأسد وأمينه,خرج النمر ذات يومٍ وكان يُدعى المعجب الوشي وكان معلّم الأسد وأمينه وموضع سرّه,فكان من قرابة الأسد نمر كان من أكرم أصحابه عليه وأخصّهم عندهم منزلة وأطولهم به خلوة في الليل والنهار [النمر] وأنّه أمسى ذات ليلة عند الأسد بعد قتل الثور,وأنّه خرج ذات ليلة من عند الأسد نمر يُدعى معجب الوشي وكان معلّم الأسد وخاصّته وموضع سرّه متوجّهًا إلى منزله,وكان أيضًا من جُملة أصحاب الأسد وخاصٌّ عنده نمرٌ وكان أمّنه على جميع أسراره وكافّة أحواله ومقبول الكلمة عنده,قال وكان من جنود الأسد ووزرائه نمر وكان من أكرم أصحابه عنده وأطولهم به خلوة وكان لا يفارقه ليلًا ولا نهارًا وكان معلّم الأسد
13,bc29461d-2802-4e07-9d77-02a4da544851,The Leopard Overhears Kalila Chastising Dimna,فخرج النمر ذات ليلة يطلب قبسًا من بيت كليلة ودمنة يعاذله على غدره ونميمته ويفتّح له سوء رأيه وصنيعه فيما ارتكب من شتربة في غير ذنب أتاه إليه,يطلب قبسًا من بيت كليلة فلمّا انتهى إلى الباب إذا هو بكليلة يعاتب دمنة ويعذله على سوء رأيه وصنعه في أمر شتربة من غير ذنب *أسداه إليه,يطلب قبسًا فاضطرّته السماء منزل كليلة ودمنة فلمّا انتهى إلى الباب سمع كليلة يعاتب دمنة ويلومه على سوء رأيه وصنيعته وما ارتكب من شتربه في غير ذنبٍ أتاه إليه,وانصرف ممسيًا إلى منزله فمرّ على مسكن كليلة ودمنة وكانا مترافقين في بيت واحد فسمع كليلة موبّخًا لدمنة فيما كان منه من الغدر والمكر مذكّرًا له نهيه إيّاه وعصيان دمنة له فسمع النمر كلامهما كلّه,فاضطرّ به المساء فتوجّه إلى بيت كليلة ودمنة الذي كانا فيه وكان على طريقه فلمّا انتهى <إلى> الباب سمع كليلة يعاتب دمنة ويلومه فيما أفسد بين الأسد والثور,فلمّا كان بعض الأيّام مشى النمر لعند الأسد بعد قتله الثور وندامته عليه وعاد النمر إلى منزله آخر وقتٍ فاجتاز على منزل كليله ودمنة عنده فلمّا انتهى إلى الباب سمع كليله يعاتب دمنة ويلومه على إقدامه بالنميمة والكذب,فخرج [[الأسد]] النمر ذات ليلة متوجّهًا إلى منزله فاضطرّه المشي إلى بيت كليلة ودمنة وكان البيت على طريقه فلمّا انتهى النمر إلى الباب سمع كليلة يعاتب دمنة ويعذله في فساده بين الأسد والثور
14,129d2084-7401-498c-b30f-d83271f8f7c1,Kalila Predicts Dimna's Doom,ويعلمه أنّه غير ناجٍ من الأسد,ويعلمه أنّه غير ناج من الأسد وأنّه لا بدّ أن يطّلع على ما كان من نميمته وكذبه وأنّه معاقبه ومهلكه,وكان في بعض قوله إنّ الذي أتيت من النميمة والخلابة سيظهر للأسد ويطّلع طلعه بعد اليوم ولست بناجٍ منه إلّا بأكثر ممّا يُعاقب به أهل الذنوب,,وقال في بعض قوله يا دمنة إنّ الذي أتيت من النميمة والخلابة سيظهر للأسد ويطّلع عليه ولست بناج منه يا دمنة إلّا بأشدّ ما يعاونوه أهل الذنوب,,وقول كليلة في بعض كلامه إنّ الذي أتيت من هذه النميمة والسعاية لا بدّ أن يظهر إلى الأسد ويطّلع عليها فإذا اطّلع عليها فلست بناج بل تعاقب بأكثر ممّا تعاقبه أهل الذنوب
15,4d212005-0002-4b72-92c5-c7449655b7c9,Kalila's Accusation of Dimna,وأنّه لا بدّ أن يطّلع على ما كان منه فلا يبقى له عاذل ولا ناصر وأنّه معاقبه ومهلكه,,,وكان ممّا قال كليلة لدمنة قد ركبت أمرًا عظيمًا قبيحًا ودخلت من الغدر مدخلًا ضيّقًا وخنت الأسد خيانة عظيمة توشك عواقبها أن تصرعك وينكشف أمرك فلا يبقى لك من السباع عاذر ولا ناصر بل تجتمع عليك كلمتهم بالهلاك والقتل,,وكان فيما قال له إنّك قد ارتكبت ذنبًا عظيمًا ودخلت مدخلًا ضيّقًا وجنيت على نفسك جنايةً عظيمةً وعاقبتها وخيمةً إذا اطّلع الأسد على أمرك وانكشف له غدرك فلا يبقى لك في السباع عاذر ولا ناصرٌ وجميعهم عليك بالتلاف والقتل مخافةً من شرّك وحذرًا من غوائلك,
16,3fa1fa75-9b2d-49f3-a4b9-baccc203cb90,Betrayals Lead to Perdition,,,,,,,
17,8ec6a2f5-7c92-42b9-8b08-01c8a70583ed,Kalila Rejects Dimna as Friend,,,ولست إنّما أيضًا فيما بعد اليوم متّخذك خليلًا ولا مفشٍ إليك سرًّا ولا مقاربك في شيءٍ,ولا أرى مقاربتك ولا مشاركتك رأيًا,ولست أنا أيضًا بمتّخذك بعد اليوم خلًّا ولا مفش إليك سرًّا ولا مساكنك في منزل,وأمّا أنا !فليس اليوم متّخذك خليلٌ ولا مفضي إليك سرًّا,ولست أدري بعد هذا اليوم هل هو متّخذك خليلًا ولا مفشي إليك سرًّا ولا مساكنك في [في] بيت
18,cd746141-8824-4bff-bdb2-29e060a27738,One Must Avoid Bad People,,,كان العلماء قد قالوا تباعد ممّن لا رغبة له في الصلاح وإنّما عمله النميمة *والخِلابة,,,فإنّ العلماء قد قالوا تباعد عمّا لا رغبةً له في الخير,فإنّ العلماء قد قالوا باعدْ من لا رغبة له في السرّ والصلاح
19,9dee46b2-7728-4ad5-8ded-b7c24c255e49,Dimna is Evil and to Be Shunned,,,,,,وأنا جديرٌ بمباعدتك فألتمس الخلاص لي ولك ممّا قد أثّر في نفس الأسد من هذا الأمر,وأنت يا دمنة إنّما عملك النميمة والفساد والسعاية والغيبة وأنا جدير بمباعدتك فإنّ سعيك ليس في شيء ممّا يعرف بالخير والصلاح ولكنّه من النميمة والفساد
20,2bd0f311-09ae-42fc-ba82-2a09d39d9970,Kalila Accuses Dimna of Causing the Ox's Killing,,,وكذلك حملت الملك على خليله البريء الرفيق العالم شتربه ولم تزل به حتّى اتّهمه فقتله,,لِما حملت سيّدنا على خليله البريء العالم الرفيق شتربة ولم تزل به حتّى اتّهمه فقتله,,وبذلك حملت سيّدنا الملك على قتل خليله الناصح الشفيق العالم الزكيّ الحكيم الوفيّ فلم تزل تدور حوله حتّى اتّهمه وقتله
21,8e1a4eb1-eaf2-4e67-b3c7-fa2c439e4fe4,Dimna Admits His Guilt,فقال دمنة لكليلة قد وقع من الأمر ما وقع فدعْ تضييق الأمور عليّ وعلى نفسك واعمل في التغيير عن موقع الأثم في نفس الأسد وأمّا أنا فقد كرهت ما كان منّي ولكن الحسد والخوض والشره حمّلوني عليه,,,قال دمنة قد وقع من الأمر ما لا مردّ له فدع أيّها الأخ تضييق الأمور عليّ وعلى نفسك واعمل في تغييب ما قرّ في نفس الأسد منه ولعمري ما أنا الرأيَ فيما سلف منّي بحامد ولكنّ الحرص والحسد حملاني على ما صنعت,,قال دمنة فلعمري ما أنا *برادٍّ ما سلف منّي لكنّ الحرص والحسد حملاني على ما فرط منّي,
22,85da4a21-adb7-43e9-9fe6-24c1a6568442,The Leopard Confides in the Lion's Mother,فلمّا سمع النمر من كلامهما انصرف إلى أمّ الأسد فدخل عليها في بيتها فحدّثها بعد أن أخذ عليها العهود والمواثيق ألّا تفشيه عنه إلى أحدٍ,فلمّا سمع ذلك انصرف فدخل على أمّ الأسد فحدّثها به,فلمّا سمع النمر قول كليلة رجع فدخل على أمّ الأسد فحدّثها الحديث الذي سمع كلّه,فلمّا سمع النمر ذلك من كلامهما انصرف فدخل على أمّ الأسد وأخذ عليها العهود والمواثيق أن لا تفشي بشيء من ذلك فجعلت له ذلك فأخبرها بما سمع من كليلة وإقرار دمنة,فلمّا سمع النمر قول كليلة رجع فدخل على أمّ الأسد فحدّثها الحديث كلّه بما سمع,فلمّا سمع النمر من كلامهما انصرف ودخل على أمّ الأسد وأخد منها عهدًا أنّها لا تفشي ما يُسرّ إليها فعاهدته على ذلك فأخبرها بما سمع من كليله وإقرار دمنة,قال فلمّا سمع النمر ذلك منهما رجع من ساعته فدخل على أمّ الأسد وأخبرها بالحديث الذي سمعه على جهته
23,ba62e8af-4004-4133-8db4-7c582f7351a1,Scene 1: The Lion and His Mother,,,,,,,
24,1c9b3d00-5821-4630-be40-9209b21b4f5d,The Mother Goes to the Lion and Finds Him Sad,فانطلقت أمّ الأسد حتّى أصبحت حتّى دخلت على ابنها فرأته كئيبًا حزينًا فلمّا *عاينـت ذلك منه عرفت أنّ ذلك ليس إلّا لقتل شتربة,فانطلقت حتّى أتت ابنها فرأته حزينًا كئيبًا فلمّا عاينت ذلك منه عرفت أنّ ذلك ليس إلّا على شتربة,فلما أصبحت انطلقت إلى ابنها فرأته حزينًا كئيبًا فلما عاينت ذلك منه عرفت أنّه ليس إلّا على شترية,فلمّا أصبحت دخلت على الأسد فوجدته مكتئبًا حزينًا لما قد فرط منه في أمر الثور,فلمّا أصبحت أمّ الأسد دخلت على الأسد فلمّا رأت شدّة حزنه على شتربة,فلمّا أصبحت أمّ الأسد دخلت عليه فوجدته كئيبًا حزينًا,فلمّا أصبحت أمّ الأسد دخلت على ولدها فلمّا رأت شدّة حزنه على الثور
25,c972a4f3-117f-47ab-80e7-af92d9632d74,The Mother Praises the Lion's Wisdom and Knowledge,,,,,,,قالت له قد جعل الله الملك كثير الحلم قليل الغضب عظيم العلم يبصر من الأمور ما لا يبصره سائر الناس
26,a22f4bae-4c27-4627-8d12-2e630c2bca85,The Mother Asks About the Cause of Grief,,,,فقالت ما يحزنك فقال,قالت يا سيّد السباع ما هذا الحزن الذي قد أخذ منك وغلب عليك,فقالت له ما هذا الغمّ الذي غلب عليك وأحزنك,فما لي أراك حزينًا مهمومًا
27,d79e7f66-8438-46e0-b07d-2c0159ad4758,The Mother Says Grief is Weakening,فقالت له إنّ الهمّ والحزن لا يردّان عليك شيئًا وهما يُنحلان الجسم ويفسدانه ويذهبان العقل ويضعفان القوّة,فقالت إنّ الأسف والهمّ لا يردّان شيئًا وهما يُنحلان الجسم ويذهبان القوّة ويضعفانهما,فقالت إنّ الأسف والهمّ لا يزيدان شيئًا وهما يُنحلان الجسم ويذهبان العقل ويضعفان القوّة,,,,
28,329141b6-4b9d-4bfa-acd0-26ef881801f9,The Mother Criticizes Lion's Grieving,فأعلمنى ما شأنك فإن كان ممّا ينبغي أن تحزن عليه فليس لأحدٍ أن يخلو من ذلك وإن كان إنّما هو لقتلك شتربة فقد تبيّن لنا ولك أنّك ركبت ذلك منه ظلمًا عن غير جرمٍ ولا ذنبٍ ولا مخالفةٍ ولو كنت حين ما بلغك عنه ملكت غيظك وفكّرت في أمره وفتّشت وقست بما له فى نفسك دليلًا ومعتبرًا,فأعلمني ما شأنك فإن كان ممّا ينبغي لك أن تحزن له فلست ولا أحدًا من جندك يخلو من ذلك وإن كان إنّما هو لقتلك شتربة فقد استبان لك ولنا أنّك ركبت ذلك منه ظلمًا على غير ذنب ولا جرم ولا غشّ ولا مخالفة ولو كنت فكّرت في أمره وقست ما له في نفسك كان في ذلك معتبرًا,فأعلمني شأنك فإن كان ممّا ينبغي لك أن تحزن له وتحيل عنه فلست ولا أحدًا من جندك يخلو من ذلك وإن كان إنّما هو لقتل شتربه فقد استبان لنا ولك أنّك ركبت ذلك منه ظلمًا على غير جرمٍ ولا غشٍّ ولا حدثٍ فلو كنت فكّرت في أمره وقست ما لك في نفسه لما تجد في نفسك له لكان في ذلك معتبرٌ,,,,
29,363de435-dce7-4efd-a704-e8ab982a615f,The Mother Asks About the Lion's Feelings and Heart,,,,,,,إن كنتَ لك من ذلك فرحًا لم ينبغي لك أن تحزن وإن لم يكن ذلك فاعلم أنّ قلبك يشهد لك أنّ عملك الذي عملته لم يكن صوابًا ولا عدلًا
30,7934c36b-c006-4559-960a-f4039d9a0120,Love and Hate Are Reciprocal,فإنّه يقال إنّ امرءًا لن يودّه أحد ولن يبغضه إلّا وجد له في نفسه مثل ذلك,فإنّه يُقال إنّ الرجل لا يودّ أحدًا ولا يبغض أحدًا أو يبغضه إلّا وجد له قبل قلبه مثل ما عنده بعينه والله أعلم,فإنّه يُقال امرءًا لا يودّ أحدًا ولا يبغضه إلّا وجد له في نفسه مثل ذلك,,,,فإنّ العلماء قالوا إذا أردت أن تعلم عدوّك من صديقك ففكّر في نفسك وانظر في منزلته منك وموضع حاله في نفسك فإن لم يكن قلبك له سليمًا فاعلم أيضًا أنّه له مثل ذلك ولو هلك على يديك
31,2c9b1bf2-5c34-4803-b332-a7a0103ef70a,Dead Foes Need Not Be Mourned,,,,,,,ومن كان بهذه المنزلة من أعدائك ما كان ينبغي لك أن تحزن عليه ولم تندم على هلاكه
32,d433c505-90b9-435b-9500-0fa0678a7607,The Mother Asks About the Lion's Feelings Toward the Ox,فاعلمني كيف كانت نفسك له قبل قتله وبعده,,فأعلمني هل ترى ضميرك يشهد أنّ الذي فعلت شترية كان على حقدًا أو عداوةً,,,,فانظر الآن بعقلك وابحث عن ذات نفسك هل ترى ضميرك يشهد لك بذلك إنّ الذي فعلته بالثور كان من محبّته لك فعلت ذلك به أو من عداوته
33,44471f0b-cb9b-491b-b330-9dee74047cf7,Killed Enemies Need Not Be Mourned,,,فإن كان كذلك فهو لك عدوّ وقد أظفرك الله به وأراحك منه فدع الحزن عليه والتأسّف لفراقه فإنّ العداوة لا تُستقال,,,,فإنّ الضمير بذلك على ذلك منه فإن كان لك عدوًّا في حياته ثمّ أمكنك الله منه فأهلكته فليس ينبغي لك أن تحزن عليه بل ينبغي لك أن تفرح بهلاكه فإنّ العدوّ أهل أن نفرح بموته
34,15aea02a-d0ab-4aca-8b27-25ed2eff6b12,Grieve Is Justified if the Lion Remembers the Ox Fondly,,,وإن كان قلبك لا يشهد بعداوته ولا يذكر منه حقدًا ولا مخالفةً لك فأنت حريٌّ بالحزن عليه,,,,فإذا رأيت ضميرك لا يشهد لك بعداوة الثور ولا تزال تذكر منه <لا> غدرًا ولا عدواة ولا مكرًا فقد أخطأت فيما صنعت من أمره
35,96446b23-2849-4ac6-bde4-a68ecc425e6b,The Ox Was Loyal,,,,,,,لأنّك تعلم أنّ الثور كان لك ناصحًا وفيك محبًّا وعليك مشفقًا ولسرّك كاتمًا ولم أقل لك ذلك إلّا لأنّك تنظر إلى الأمور بعلمك وعقلك وحسّ بصيرتك
36,e1295b4c-254c-475b-a9b3-5b6bade98c58,The Lion Misses the Ox and Regrets Killing Him,,,,يحزنني قتل الثور وتذكّرت صحبته ومواظبته كانت معي وما كنت أستمتع به من رأيه وأسكن إليه من مشورته ونصيحته,قال لها حزنت على عقل شتربة وكلّما تذكّرت صحبته ومواظبته عليّ وما كنت أسمع من مؤامرته وأسكن إليه في مشاورته وأقبل من مناصحته ندمت على قتله,فقال لها كلّ ذلك أسفًا على ما فرّطت في أمر شتربه وقتله وكلّما تذكّرت حُسن صحبته وحديثه وخدمته ومناصحته وما كنت أسمع منه من رأيه وعشرته,
37,aaf998ca-a765-4b9b-8f81-6385add59b60,The Lion Reflects about the Ox,فقال الأسد لأمّه لقد أكثرت التفكّر في أمر الثور وحرصت أن أقف على ذنبٍ أو جرمٍ أقوّى به همّتي فلم أجده,,,قال الأسد لقد أكثرت التفكّر في ذلك وحرصت على التجنّي عن الثور بعد قتلي إيّاه وعلى أن أغضب به ذنبًا واحدًا فيما بيني وبينه أقوّي به تهمتي إيّاه فما تزداد تهمتي إيّاه ولا يزداد ظنّي به في تردادي إلّا حسنًا,,قال الأسد لقد أكثرت في أمر الثور فكري وحرصت على قتلي له تجنّي أن أصيب له ذنبًا واحدًا فيما بيني وبينه أتقوّى به على سلوته وأُعزّي نفسي عنه فلم أجدْ,فقال الأسد لأمّه قد فتّشت ذات نفسي فوجدتني منذ عرفت الثور لم أزلْ إلى اليوم محبًّا له
38,fe86258c-1b19-423b-952a-15d65a6d51ba,The Lion Finds no Fault with the Ox,وما زلت لشتربة سليم الصدر واثقًا به معجبًا برأيه آخذًا عنه مسترسلًا إليه وما أنكرت من نفسي له قبل قتله ولا بعده,قال الأسد ما زلت لشتربة سليم الصدر معجبًا برأيه آخذًا منه {آمنًا} إليه وما أنكرت في نفسي له شيئًا قبل قتله ولا بعده,فقال الأسد ما زلت لشتريه سليم الصدر واثقًا به معجبًا برأيه محبًّا له مسترسلًا إليه وقد دخل عليّ لقتله همّ شديد وما أنكرت من نفسي شيئًا قبل قتله ولا بعده,ولست أتذكّر منه شراسة خلق أقول حملته على أنّه حسدني ولا بغضًا أتّهمه في طلب مغالبتي ولا أتذكّر منه إليّ سببًا أرى أنّه دعاه إلى مغالبتي,,ولست أتذكّر منه سوء أدبٍ ولا شراسة خُلقٍ ولا أمرًا شيْنًا أقول ذلك دعاه إلى عداوتي,
39,93d7c29d-bba0-4556-9b6b-91b2f47500dc,The Lion's Remorse for Killing the Ox,وإنّي لندمت على ما كان منّي *متلهّف عليه ومتوّجع له,{وإنّي} لنادم على ما كان منّي ومتلهّف له ومتوجّع,وإنّي لنادمٌ على ما كان منّي متلهّفٌ له موجعٌ,,,,وقد دخل عليّ من قتلي له همًّا وغمًّا عظيمًا وحزنًا شديدًا
40,08543d58-9920-4725-805c-a6e29cdf3af9,Self-Accusation is the Most Damning,,,,قالت له إنّ أقنع ما شهد على امرئ نفسه,قالت أمّ الأسد إنّ أشدّ شيئًا شهادة المرء على نفسه وأصدق عدلًا شهادة القلب,قالت أمّ الأسد ما مرّ على نفسي أمره هذا,
41,232a3bc7-0488-4200-8629-e4338dac63de,Killing the Ox Was Wrong,,,,وهذا من قولك دليل على أنّ قلبك شاهد بأنّك قد أقدمت على الثور بغير علم ولا وضح يقين بذلك,وكيف أقدمت على قتل الثور بغير علم ولا يقين إنّ هذا من أشدّ الخطأ,وعجبت من وهن رأيك إذ قدمت على الثور بغير علمٍ ولا وُضح يقين فاعلم أنّ ذلك كان خطأ كلّه,
42,85c28d6b-61d2-46b3-967c-d6d0f504f933,Haste is the Worst Mistake,,,,واعلم أنّ رأس الخطأ العجلة,,,
43,e2dc2090-65d0-4663-a43f-8008dbf0c24c,The Mother Alludes to Her Secret Knowledge,,,,قالت أمّ الأسد بلغني أمر استُكتمته ولولا ما قالت العلماء ممّا في إذاعة السرّ من العيب لذكرته لك,ولولا ما قالت العلماء في إذاعة الأشرار وكراهة ما فيه من الإثم والشنار لذكرت لك وأخبرتك بما علمت من أمر شتربة,قالت أمّ الأسد قد بلغني خبرًا استُمسكته ولولا ما قالت العلماء إنّ إذاعة السرّ من الإثم والشرّ لذكرته لك وأخبرتك به,قالت له أمّه افعلْ ما أمرتك به وثقْ بقولي واطمئنّ إليّ فإنّي مخبرك بالذي أخبرني ذلك وأطلعني على السرّ حتّى عرفته
44,d1d93706-c9dd-4f35-a1ea-c07e59e393cd,The Lion Should Have Controlled Himself,,,,فلو كنت حين بلغك عن الثور ما بلغك كففت نفسك وملكت سورة غضبك ثمّ عرضت ما بلغك عنه على قلبك بحفظ نظر لاكتفيت بقلبك دليلًا على صدق ما أتاك عنه وكذبه *لأن القلوب تتكافأ فيما بينهما,,ولو كنت حين بلغك عنه ما بلغك تثبّتت قلبك بحسن رأيٍ ونظرٍ وكففت *سورة *غيظك لاكتفيت مواقع أمره,
45,298b7c4d-3b25-48f1-a086-f28807c8f0c7,The Lion Should Evaluate His Feelings after the Ox's Death,,,,فقسْ أمرك وأمر الثور بموقع أمره كأنّ نفسك في حياته وموقعه,,,
46,b314e976-1410-4f38-a7f9-a203faa26fda,The Lion Wants to Conduct an Investigation,,,,وإنّي لأحبّ أن أفحص عن أمره وأبالغ في الفحص عن شأنه,,وإنّي أحبّ أن أفحص عن أمره فحصًا شافيًا,فالآن علمت أنّ كثرة البحث والفحص تظهران الحقّ وتبطلان الباطل
47,8ab60da8-60c4-43d1-bc82-9839cb9b3d6e,The Lion Seeks an Evaluation of His Action,,,,وإن كنت أعرف أنّ ذلك غير مصلح ما فرط منّي في أمره ولكنّي أحبّ أن أعرف موقفي الذي أنا عليه فيما صنعت من الخطأ والصواب,,,
48,685cf021-8ae7-4ebd-aa4e-1cd1d5ea2206,The Lion Finds the Ox's Innocence Hard to Bear,وما يشكل عليّ الرأي أنّه كان <بريـئـًّا> ممّا لطّخ به صحيح الأديم غير متّهم,وما أشكل عليّ الرأي أنّه كان بريئًا ممّا لُطّخ به صحيح المودّة غير متّهم,وما أشكل عليّ الرأي أنّه بريء ممّا لُطّخ له غير مُتّهمٍ,,,,
49,70a02d1b-a46f-4697-a458-0c969085484e,The Lion Feels Misguided by a Schemer,ولكنّه حملني على ما صنعتُ به الفاجر الرجس دمنة بنميمته ومكره وذكره للكلام الكاذب الذي لم يكن الثور خليقًا به ولا جديرًا,ولكن حملني على ما صنعت الخبيث الفاجر دمنة بنميمته وذكر فيه الكلام الكاذب الذي لم يكن شتربة خليقًا به ولا حريًّا,ولكن لتحميل الأشرار وبغيهم وزخرفتهم الكلام الكاذب,,,,وقد بان لي بقولك أنّي لم أقتل الثور بذنب أذنبه إليّ ولكن قتلته بتحمّل الأشرار وبغيهم ولم أسمع من أحدهم مثل مقالتك هذه
50,377b447e-7f2c-4612-9939-96387c48e771,The Lion Asks Whether His Mother Has Any News,ولكنّه أعلميني هل بلغك شئ أو سمعتيه أو حدّثك به أحد,ولكن أعلميني يا أمّاه هل سمعت شيئًا أو حدّثك أحد بشيء,ولكن أعلميني هل سمعت شيئًا أو حدّثك به أحدًا فإنّه,فأخبريني هل سمعت شيئًا,,,فأخبريني الآن من ذكر لك ذلك وممّن سمعته
51,e427d1f7-d860-4880-a6f1-f2f80b741911,Keeping Secrets is Praiseworthy,,,,,,,اعلمْ أبقاك الله أنّ العلماء قد قالوا إنّ أحمد الناس عاقبة في الدنيا والآخرة أكتمهم للأسرار
