unit_order,unit_id,unit_title,Met-1981.373,L4044,P5881,L8751,P3471,P3465,P3466,CCCP578,R3655,JBE-Hebrew,R2536,VAF298
114,a4109a17-f895-43c8-b2ee-fb6696a915a7,Kalila Questioning Dimna's Proximity to the Lion,فكيف ترجو الكرامة من الأسد ولست ممّن يغشاه,فكيف ترجو المنزلة عند الأسد ولست تدنو منه,قال كليلة كيف ترقو المنزلة عند الأسد ولست صاحب سلطان وليس لك بخدمة الملوك وأدبهم معرفة,فكيف ترجو المنزلة عند الأسد ولست ممّن تدنو منه,فكيف ترجو المنزلة عند الأسد ولست ممّن يدنو منه,وكيف ترجو المنزلة عند الأسد ولست تدنو منه,,فكيف ترجو المنزلة عند الأسد ولست ممّن يدنو منه,فكيف ترجو المنزلة عند الأسد ولست ممّن يدنو منه,,أفرأيت إن لم يدنك الأسد ولم تقدر على كلامه إذا مشيت فما حيلتك في ذلك,فكيف يرجو عند الأسد منزلة ولست تدنوا منه
115,3cc1c2d1-7b2c-40aa-8bc0-e0faed2a178a,Dimna's Explanation of Gaining Favor,قال دمنة قد صدقت فيما وصفت ولكنّ الذين لهم المنازل الحسنة عند السلطان قد كانوا وليست تلك حالتهم عندهم فتقرّبوا بعد البعد عنهم وتدنّوا منهم بعد النأي منهم,قال دمنة قد فهمت مقالتك وأنت صادق ولكن اعلم أنّ الذين هم بقرب السلطان قد كانوا وليست تلك منزلتهم ثمّ قربوا منهم بعد البعد وبلغوا المنازل,قال دمنة قد فهمت ما ذكرت وصدقت فيما قلت لكنّي أعلم أنّ الذي لهم المنازل الحسنة عند السلطان وقد كانوا وليست تلك منزلتهم عنده يُقربون منه بعد التبعّد عنهم دنوا [البصر] بعد النأي منهم,قال دمنة قد فهمت ما ذكرت وأنت صادق ولكنّي اعلم أنّ الذين هم أقرب إلى السلطان كانوا أصغر قدرًا منّا قد كانوا !ولست تلك منازلهم ثمّ دنوا منه بعد البعد فبلغوا المنازل,قال دمنة قد فهمت ما ذكرت وأنت صادق ولكن اعلم أنّ الذين هم قريبًا من السلطان قد كانوا وليست تلك منازلهم ثمّ دنوا منه بعد البعد,قال دمنة قد فمهت كلامك وما ذكرت وأنت صادق ولكن اعلم أنّ الذي هو قريب من السلطان ولا ذاك موضعه ولا تلك منزلته كمن دنا منه عند البعد وله حقّ وحرمة,قال دمنة قد فهمت ما قلت ولكن اعلمْ أنّ الذين هم قرب السلطان قد كانوا وليست تلك منازلهم ولكنّهم دنوا منه بعد البعد والإطراح,قال دمنة قد فهمت ما ذكرت وأنت صادق ولكن اعلم أنّ الذين هم قرب السلطان قد كانوا وليست تلك منازلهم ثمّ دنوا منه بعد البعد,قال دمنة قد فهمت ما ذكرت وأنت صادق ولكن اعلم أنّ الذين هم بقرب السلطان قد كانوا وليست تلك منازلهم ثمّ دنوا منه بعد البعد,,قال له دمنة الأمر على ما وصفت ولكن اعلم أنّ الذين مع السلطان لم يكونوا معه قطّ ولكن باجتهادهم أدركوا المنزلة من السلطان والكينونة معه بعد التبعّد عنه,قال دمنة قد فهمت ما ذكرت وأنت صادق ولكن اعلم أنّ الذين لهم قرب عند السلطان وليست منازلهم وإنّما يدنون بعد البعد
116,d7c9b80c-752a-4bfe-86e9-8eaa44d3b78c,Dimna's Determination to Succeed,وأنا ملتمس مثل ذلك وطالب بلوغه,فأنا ملتمس بلوغ المنزلة من الأسد بجهدي,فأنا ملتمس مثل ذلك,فأنا ملتمس بلوغ منازلهم ومكانهم جهدي بالدنوّ منهم,فأنا ملتمس مكانهم وبلوغ منزلتهم بجهدي,وأنا ملتمس بلوغ مكانهم بجهدي,وأنا ملتمس مثل مكانتهم لجهدي,فإنّا نلتمس مكانهم وبلوغهم بجهدي,فأنا ملتمس بلوغ مكانهم بجهدي,,فما ملتمس ذلك وطالب بلوغه,وإنّما التمس بلوغ مكانهم يجدي
117,714a083a-7f81-403f-bd7f-0dd97fe24465,Kalila's Warning about Dangers of Serving Rulers,وقد قيل لا يواظب أحد على باب السلطان طارحًا عنه الأنفة يكظم الغيظ ويترفّق بنفسه إلّا وصل إلى مراده,وقد كان يُقال لا يواظب على باب السلطان أحد فيلقي عنه الأنفة ويحتمل الأذى ويكظم الغيظ ويرفق بالناس إلّا خلص إلى حاجته من السلطان,وقد قيل لا يواظب على باب السلطان إلّا ثقة فيتحمل الأذى ويكظم الغيظ ويرفق في أمره ويكتم سرّه إلّا حافظ إلى صاحبه منه,وقد كان يُقال أنّه لا يواظب على باب السلطان أحد فيلقي عنه إلّا ثقة ويكظم الغيظ ويحتمل الأذى ويرفق بالناس إلّا وصل إلى حاجته من السلطان,وكان يقال لا يواظب على باب السلطان أحد فيلقي عنه الأنفة ويحتمل الأذى ويكظم الغيظ ويرفق بالناس إلّا خلص إلى حاجته منه,وقد قيل لا يواظب على باب السلطان إلّا من تطرح الأنفة ويحمل الأذى ويكظم الغيظ ويرفق بالناس فإذا وصل إلى ذلك فقد بلغ مراده,وقد كان يُقال لا يواظب على باب السلطان أحد فيلقي عنه الأنفة ويكظم الغيظ ويرفع بالناس إلّا خُصّ إلى حاجته من السلطان,وقد كان يُقال لا يواظب على باب السلطان أحد فيُلقي عنه الأنفة ويحتمل الأذى ويكظم الغيظ ويرفق بالناس إلّا خلص إلى حاجته من السلطان,وقد كان يُقال لا يواظب على باب السلطان أحد فيُلقي عنه الأنفة ويتحمّل الذلّ ويكظم الغيظ ويرفق بالناس إلّا خلص إلى حاجته من السلطان,,وقد قيل إنّه لا يواظب أحد باب السلطان فيلقي عنه العنف ويحتمل الأذى ويكظم الغيظ ويرفق في أمره إلّا خلص بحاجته,وقد كان يُقال ما واظب الرجل على باب السلطان وهو يقدر على دفع الأذى وكظم الغيظ ورفق بالناس إلّا وصل إلى حاجته
118,70d97446-11fe-44ee-94ba-bba7ac45bd17,Kalila Questioning Dimna's Strategy,,قال كليلة هبك قد وصلت إلى الأسد فما رفقك الذي ترجو أن تنال المنزلة به عنده,,قال كليلة فهبك قد وصلت إلى الأسد فما رفقك الذي ترجوا أن تنال به المنزلة عنده,قال كليلة هبك قد وصلت إلى الأسد فما رفقك الذي ترجو أن تنال منه المنزلة عنده,قال كليلة هبك وصلت إلى الأسد فما توفيقك عنده الذي ترجو أن تنال به المنزلة عنده والحظوة لديه,قال كليلة هبك وصلت إلى الأسد فما رفقك الذي ترجو به المنزلة عنده,قال كليلة هبك وصلت إلى الأسد فما رفقك الذي ترجو به المنزلة وبلوغها من الأسد ونيلها عنده,قال كليلة هبك قد وصلت إلى الأسد فما رفقك الذي ترجو أن تنال به المنزلة عنده,,قال كليلة قد فهمت قولك وهبك أن قد وصلت إلى الأسد فما رفقك وما الذي ترجو من المنزلة عنده,قال كليلة وهبك وصلت إلى الأسد فما رفقك الذي ترجو به المنزلة عنده
119,b46cdcb1-b289-404f-8757-e450c4fe604c,Dimna will Make the Lion See His Benefit,ولو دنوت من الأسد وعرفت أخلاقه تلطّفت في متابعته فإذا أراد أن يفعل صوابًا زيّنته له حتّى يعمل به,قال دمنة لو قد لزمته عرفت أخلاقه وحططت في هواه ثمّ رفقت بمتابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسي صواب زيّنته له وبصّرته فضله وشجّعته عليه حتّى يزداد بذلك سرورًا,ولو قد دنوت من الأسد وعرفت أخلاقه لطفِقت في متابعته وقلّة الخلاف عليه فإذا أراد أمرًا زيّنته له وشجّعته عليه حتّى يعمل به وينفذ رأيه,قال دمنة لو قد دنوت منه ثمّ عرفت أخلاقه ثمّ انحططت في هواه ورفعت بمتابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسي صوابًا زيّنته له ونصحته فيه وشجّعته عليه حتّى يزداد به سرورًا,قال لو قد دنوت من الأسد وعرفت أخلاقه ثمّ رفقت في متابعته وقلّة المخالفة له فإذا أراد أمرًا هو عندي صوابًا زيّنته له وبصّرته ما فيه من الرشد وشجّعته عليه حتّى يعمل به وينفذ فيه,قال دمنة لو قد دنوت منه وعرفت أخلاقه فرفقت في متابعته وقلّة الخلاف عليه وإذا أراد أمرًا هو في نفسه صواب زيّنته له وصبّرته عليه وعرّفته بما فيه وشجّعته عليه وعلى الوصول إليه حتّى يزداد به سرورًا,قال دمنة لو قد دنوت من الأسد وعرفت أخلاقه رفقت في متابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسه صواب زيّنته له وشجّعته عليه حتّى يزداد به سرورًا,قال دمنة دنوت من الأسد وعرفت أخلاقه ثمّ وقفت في متابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسه صواب وبيّنته له وبصّرته ما فيه من الضرر وشجّعته عليه حتّى يزداد به سرورًا,قال دمنة لو قد دنوت من الأسد عرفت أخلاقه ثمّ رفقت في متابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسي صواب زيّنته له وبصّرته ما فيه ثمّ شجّعته عليه حتّى يزداد به سرورًا,,قال دمنة لو قد وصلت إلى الأسد ودنوت منه وعرفت أخلاقه لطقت في متابعته وقلّة الخلاف عليه وإذا رأيت أمرًا صوابًا زيّنته له ومهّلته عليه حتّى يعمل به ويزداد سرورًا,قال دمنة لو قد دنوت من الأسد وعرفت أخلاقه ثمّ توقّفت على متابعته وقلّة الخلاف عليه فإذا أراد أمرًا هو في نفسه صواب زيّنته له وبصرته به حتّى يزداد سرورًا
120,cabe581d-3327-463f-a0e1-5ba789431e90,Dimna will Make the Lion See His Harm,وإذا همّ بما فيه مضرّته بيّنته له وراجعته عنه حتّى أنال منه ما لم ينلهْ غيري من قربه,وإذا أراد أمرًا أخاف عليه ضرّه وشينه بصّرته بما فيه من الضرّ والشين,وإذا همّ بما خاف ضرّه عليه بصّرته ما فيه بأرفق ما أجد وأبينه,وإذا أراد أمرًا أخاف عليه ضرره وشينه بصّرته ما فيه من الضرر والشين وما في تركه من النفع والزين ودخلت عليه بالرفق واللين,وإذا أراد أمرًا يخاف ضرّه وشينه بصّرته ما فيه من الضرر وما في تركه من النفع بأرفق ما يكون وما أقدر عليه وألينه,وإذا أراد أمرًا يُخاف عليه ضرّه وشينه بصّرته بما فيه من الضرّ والشين وما في تركه من النفع والزين بحسب ما أجد إليه السبيل,وإذا أراد أمرًا أخاف عليه ضرّه وشينه بصّرته ما فيه من الضير والشين,وإذا أراد أمرًا أخاف عليه ضرره وشينه بصّرته ما فيه من الضرر والشين وما في تركه من المنافع والزين بأرفق ما أجد وألينه,وإذا أراد أمرًا أخاف ضرّه بصّرته ما فيه من الضرّ والشين وما في تركه من النفع والزين بأرفق ما أجد,,وإذا همّ بأمر أخاف عليه ضرّه بصّرته بما فيه بأرفق ما أجد إلى ذلك سبيلًا,وإذا أراد أمرًا أخاف عليه ضرّه بصّرته بما فيه من الضرّ والشين وما في تركه من النفع بأرفق مأخذ والنيّة
121,944ebdb8-68aa-4139-99b6-90dae584acc7,Dimna's Hope to Impress the Lion,,فإنّي أرجو أن يزداد لي الأسد بذلك حبُّا منّي ما لم ير من غيري,فأرجو أن يرى منّي في ذلك أفضل *مما يرى من غيري,فأنا أرجو أن يزداد لي الأسد بذلك خيرًا وأن يرى في ذلك منّي ما لم يرى من غيري,وأنا أرجو أن يرى منّي أفضل مما يرى من غيري وأن يزداد لي بذلك خيرًا,وأنا أرجو أن أزداد بذلك عند الأسد مكانة ويرى منّي ما لا يراه من غيري,وأنا أرجو بذلك أن يزداد بي الأسد خيرًا ويرى منّي ما لم ير من غيري,وأنا أرجو أن يزداد الأسد خيرًا وأن يرى منّي ما لم ير من غيري,فإنّي أرجو أن يزداد لي الأسد بذلك خيرًا ويرى منّي ما لم ير من غيري,,فأنا أرجو أن يرى منّي في ذلك أفضل *مما يرى من غيري,وأنا أرجو أن يزداد بي الملك خير وأن يرى منّي ما لم يرى من غيري
122,7d338706-c86a-4701-aa19-31974de8e3d8,Clever Speech Can Twist the Truth,فإنّ الرجل الأديب لو شاء أن يبطل الحقّ ويحقّ الباطل فعل,فإنّ الرجل الأريب الرفيق ربّما أبطل الحقّ وحقّق الباطل,فإنّ الرجل الحازم الذي يبطل الحقّ ويحقّ الباطل أحيانًا يفعل ذلك,فإنّ الرجل الأديب الرفيق لو شاء أن يبطل حقًّا ويحقّ باطلًا فعل,فإنّ الرّجل الأديب الرفيق لو شاء أن يبطل الحقّ ويحقّ الباطل أحيانًا لفعل,فإنّ الرجل الأديب الرفيق لو شاء أم يبطل حقًّا ويحقّ باطلًا لفعل,فإنّ الرجل الأديب الرفيق لو شاء أن يبطل حقًّا ويحقّ باطلًا لفعل ذلك,,فإنّ الرجل الأديب الرفيق لو شاء أن يبطل الحقّ ويحقّ الباطل فعل,,فإنّ الرّجل الأريب الداهي الرقيق لو شاء يبطل الحقّ ويحقّ الباطل أحيانًا لفعل,فإنّ الرجل الأديب الرفيق لو شاء أن يبطل الحقّ ويحقّ الباطل لفعل
123,d5a46d7b-89d5-48dd-8cd5-b55bfb69217e,Analogy of Skilled Painter's Illusions,كالمصوّر الماهر الذي يصوّر التماثيل في الحائط كأنّها داخلة فيه وليست بداخلة ويصور أخرى كأنّها خارجة عنه وليست بخارجة,كالمصوّر الماهر الذي يصوّر في الجدار تصاوير كأنّها خارجة من الجدار وليست خارجة وأخرى كأنّها داخلة وليست بداخلة,كالماهر الذي يصوّر في الحائط تماثيل كأنّها خارجة وأخرى كأنّها داخلة *وليست كذلك,كالمصوّر الماهر الذي يصوّر في الجدار تصاوير فيرى كأنّها خارجة من الجدار وليست بخارجه وأخرى تراها داخلة وليست بداخلة,كالمصوّر الماهر الذي يصوّر في الجدار تصاوير كأنّها خارجة منه وليست بخارجة وتصاوير كأنّها داخلة وليست بداخلة,كالمصوّر الماهر الذي يصوّر في الحيطان صورًا كأنّها خارجة وليست بخارجة وأخرى كأنّها داخلة وليست بداخلة,كالمصوّر الماهر الذي يصوّر في الجدار تصاوير كأنّها خارجة من الجدار وليست بخارجة وأخرى كأنّها داخلة وليست بداخلة,,كالمصوّر الماهر الذي يصوّر في الجدار تصاوير كأنّها خارجة من الجدار وليست بخارجة وأخرى كأنّها داخلة وليست بداخلة,,كالمصوّر الماهر الذي يصوّر في الحائط تماثيل فنراها كأنّها داخلة فيه ويصوّر أخرى كأنّها خارجة من الجدار,كالمصوّر الماهر الذي يصوّر في الجدار صورة كأنّها خارجة وأخرى داخلة فيه وليست بداخلة فيه
124,1119cf1f-d579-403f-b0a2-3862df133362,Dimna's Expectation of the Lion's Response,فإذا رأى منّي ذلك التمس إكرامي وتقريبي إليه وحظيت عنده ولديه,فإذا أبصر الأسد فضلي وعرف ما عندي كان هو الذي يلتمس بقربي إكرامي,فإذا هو عرف نبلي وكمال ماعندي وحسن مشورتي كان هو الذي يلمس إكرامي ويُقرّبني إليه,فإذا أبصر الأسد فضلي وعرفه وعلم ما عندي كان هو أحرص على كرامتي وتقريبي,فإذا أبصر الأسد فعلي وعرف ما عندي كان هو الذي يلتمس قربي وإكرامي,,فإذا أبصر الأسد فضلي وعرف ما عندي كان هو الذي يلتمس تقريبي وإكرامي,وإذا نظر الأسد فعلي وعرف ما عندي كان هو الذي يلتمس قربي وإكرامي,فإذا أبصر الأسد فعلي وعرف ما عندي كان هو الذي يلتمس تقريبي وإكرامي,,فإذا عرف ذهني وكمال ما عندي كان هو الذي يلتمس تقريبي,
125,ae7f99d5-1e21-4e1c-9a95-ffbc08109e91,Kalila's Final Warning about Ruler's Danger,قال كليلة أمّا إذا كان هذا رأيك فإنّي لأحذّرك هو لعِظم خطره,قال كليلة أمّا إذا كان هذا رأيك فإنّي أحذّرك السلطان فإنّ في صحبة السلطان خطر,قال كليلة أمّا إذا كان رأيك هذا فإنّي أحذّرك السلطان لعظم خطره,قال كليلة إن كان هذا رأيك فإنّي أحذّرك صحبة السلطان فإنّ صحبتهم خطر,قال كليلة أمّا إذا كان هذا رأيك فإنّي أحذّرك السلطان فإنّ في صحبته خطرًا عظيمًا وغرورًا كثيرًا,فقال كليلة أمّا إن قلت هذا أو قلت هذا فإنّي أخاف عليك من السلطان فإنّ صحبته خطرة,قال كليلة أمّا إذا كان هذا رأيك فإنّي أحذّرك السلطان فإنّ صحبته خطرها عظيم,قال كليلة أمّا إن كان هذا رأيك فإني أحذّرك السّلطان فإنّ صحبة السلطان خطر عظيم,قال كليلة أمّا إذا كان هذا رأيك فإني أحذّرك السّلطان فإنّ صحبة السلطان خطر عظيم,,قال كليلة أمّا إذا كان هذا رأيك فإنّي أحذّرك صحبة السلطان لعظم خطرها,قال كليلة إن كان رأيك فإنّي أحذّرك صحبة الأسد فإنّ صحبة السلطان خطرًا عظيمًا
126,5e2f71a9-338b-492c-ac53-0a641a2d536f,Transition in the Conversation,,,,,,,,,,,,
127,5ef9fc8e-fabe-487c-9f85-1db78919908f,Three Risky Endeavors According to Scholars,وقد قالت العلماء ثلاثة أمور لا يجترئ عليها إلّا الأهوج ولا يسلم فيها إلّا العاقل صحبة السلطان وائتمان النساء على الأسرار وشارب السمّ للتجربة,وقد قالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا أهوج ولا يسلم منها إلّا قليل منها صحبة السلطان ومنها ائتمان النساء على الأسرار ومنها شرب السمّ للتجربة,وقد قالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا أهوج منها صحبة السلطان وإئتمان النساء على الأسرار وشرب السمّ للتجربة,وقد قالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا الأهوج ولا يسلم منها إلّا القليل منها صحبة السلطان ومنها شرب السمّ للتجربة ومنها ائتمان النساء على الأسرار,وقالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا <الأ> هوج ولا يسلم منها إلّا المهذّب صحبة السلطان وائتمان النساء على الأسرار وشرب السمّ للتجربة,وقد قالت العلماء إنّ أمورًا ثلاثة لا يجترئ عليهنّ إلّا أهوج ولا يسلم منهنّ إلّا القليل صحبة السلطان وائتمان النساء على الأسرار وشرب السمّ للتجربة,وقد قالت العلماء إنّ أموراً ثلاثة لا يجترئ عليها إلّا أهوج ولا يسلم منها إلّا القليل منها صحبة السلطان وائتمان النساء وشرب السمّ للتجربة,وقد قالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا الأهوج ولا يسلم منها إلّا قليل منها صحبة السلطان وائتمان النساء على الأسرار وشرب السمّ للتجربة,وقد قالت العلماء في ثلاثة أمور لا يجترئ عليها إلّا أهوج ولا يسلم منها إلّا القليل صحبة السلطان وائتمان النساء على الأسرار وشرب السمّ للتجربة,,وقد قالت العلماء في أمور ثلاثة لا يجترئ عليها إلّا أهوج ولا يسلم منها إلّا قليل من الناس صحبة السلطان وائتمان النساء على الأسرار وشرب السمّ عن تجربة,وقد قالت العلماء أمور ثلاثة لا يستجري عليها إلّا أهوج ولا يسلم منها إلّا القليل فأحدها صحبة السلطان والتماس الأمانة من النساء وائتمانهنّ على الأسرار وشرب السمّ للتجربة
