unit_order,unit_id,unit_title,Met-1981.373,L4044,P5881,L8751,P3471,P3465,P3466,CCCP578,R3655,JBE-Hebrew,R2536,VAF298
1,c59b54ce-75b7-4556-993c-d372dee937b4,Chapter Title,باب الأسد والثور,باب الأسد والثور,باب الأسد والثور,باب الأسد والثور وهو الباب الرابع,,باب الأسد والثور وهو أوّل الكتاب,باب الأسد والثور,باب الأسد والثور,,שער האריה והשור,باب الأسد والثور,باب الأسد والثور
2,a313a2c1-502c-4e73-b53f-8201e0762874,Introduction to the Story's Theme,,وهو مثل الرجلين المتحابّين يقطع بينهما الغدّار الكذوب بنميمته,,,,,وهو مثل المتحاببين يقطع بينهما الخؤون الكاذب,,,והוא משל שני חברים אשר נרגנים ינרו מדון ביניהם. ויפרידו בין שניהם.,,وهو باب المتحابّين يقطع بينهما الكذب والمحال
3,f605466c-d334-4db0-b6b2-b7abc017082f,Frame dialogue,,,,,,,,,,,,
4,98e3ca84-6b0a-4ede-a4f7-89128630ab1b,King's Request for a Parable,قال الملك ديشلم لبيدبا الفيلسوف اضرب لي مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويحملهما على العداوة,قال دبشلم ملك الهند لبيدبا الفيلسوف رأس فلاسفته اضرب لي مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن ويحملهما على العداوة والشنآن,قال ديلم ملك الهند لبيدبا رأس الفلاسفة إضرب لي مثل الرجلين المتحابّين كيف يقطع بينهما الكذوب والخؤون ويحملهما على العداوة والشتات,قال ديشليم ملك الهند لبيدبا رأس الفلاسفة اضرب لي مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن,,قال ديشلم الملك لبيدبا الفيلسوف وهو رأس البراهمة اضرب لي مثل المتحابّين الذي يقطع بينهما الكذوب المحتال حتّى يحملهما على العداوة والبغضاء,قال ديشلم الملك لبيدنا الفيلسوف وهو رأس الفلاسفة اضرب لي مثل الرجلين المتحاببين كيف يقطع بينهما الخؤون الكذّاب ويحملهما على العداوة والتقاطع والتدابر,قال ديسلم ملك الهند لبندبارأس فلاسفته اضرب لي مثلًا مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن ويحملهما على العداوة,,ויאמר דיסלם מלך הרו אל סאנדבאר שהיה דוד חכמות מארץ הרו. משל משלים בין שני ידידים טהורי לב נאמנים. שהפרידו בין שניהם בכוביהם מסיתים נרגנים.,قال ديسلم الملك ليندباذ الفيلسوف اضرب لي مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويجعلهما على الحدّ في العداوة,قال ديشلم الملك لبيدبا الفيلسوف رأس الفلاسفة اضرب لي مثل المتحابّين يقطع بينهما الخؤون الكذوب
5,7f0d999d-3142-4620-a522-cc605a7a0653,Philosopher's Response and Story Introduction,** تقاطعا وتدابرا,قال بيدبا الفيلسوف إذا ابتُلي الرجلان بدخول الكذوب الخؤون بينهما تقاطعا وتدابرا وتفاسد ما بينهما,قال بيدبا الفيلسوف إذا ابتلا الرجلين المتحابّين وجرى بينهما الخؤون الكذوب تقاطعا وتدابرا,قال بيدبا الرجلان المتحاببان يدخل بينهما الكذوب الخائن تقاطعًا وتدابرًا,,قال [قال] بيدبا إذا ابتلي المتحابّين بأن يدخل بينهما الكذوب المحتال لم يلبثا أن يتقاطعا ويتدابرا,قال بيدنا إذا ابتُلي الرجلان المتحاببان بأن يدخل بينهما الكذوب المحتال لم يلبنا أن يتقاطعا ويتدابرا,قال بندبا رأس الفلاسفة إذا ابتلى الرجلين المتحابّين بجري الكذوب †الخائن بينهما تقاطعا وتدابرا وفسد ما بينهما,,ויען דוד חכמות ויאמר כן משפט כל שני ידידים. המכוניבים והמסיתים יהיו ביניהם מפרידים. ויהיו כמו האריה והשור.,قال الفيلسوف,قال بيدباه الفيلسوف إذا ابتلي الرجلين المتحابّين بمن يجري بينهما بالمحال تقاطعا وفسد ما بينهما
6,a87aca18-2ab6-48e0-b880-a813f377ede5,Transition to the Lion and Bull Story,,,,,,,,,,,ومثل ذلك كمثل الأسد والثور,
7,9e91227a-81e0-466b-b318-92d01d7bc125,King's Inquiry About the Story,,,,,,,,,,ויאמר המלך איכה היה הדבר. ויאמר דוד חכמות סוחר עשיר היה בארץ רסתבאר ולו שלשה בנים.,قال الملك وكيف كان ذلك,
8,b502a1e0-7346-4dae-8b0f-ca1183b5a60b,Subframe of Wealthy Merchant and His Sons,,,,,,,,,,,,
9,a3505e8f-c57f-4516-af46-9dfd692f50dc,Setting: Wealthy Merchant and His Sons,ومن أمثال ذلك أنّه كان بأرض ديستايد تاجر مكثر وكانت له بنون,ومن أمثال ذلك أنّه كان بأرض دستنابد تاجر مكثر وله بنون,ومن أمثال ذلك أنّه كان بأرض بساتر تاجرًا وكان مكثرًا وله بنون,ومن أمثال ذلك أنّه كان بأرض دستا تاجر مكثر وكان له بنون,,ومن أمثال ذلك أنّه كان بأرض دستاوبد رجل شيخ وكان له ثلاث بنين,ومن أمثال ذلك أنّه كان بأرض دستابد تاجرًا مكثرًا وكان له بنون ثلاثة,ومن أمثال ذلك أنّه كان بأرض يسابد تاجر مكثر له بنون,*** ومن أمثال ذلك أنّه كان بأرض دفستاند تاجر مكثر له بنون,,قال الفيلسوف زعموا أنّه كان بأرض ديسابد تاجر مكثر وله ثلاث بنون,فمن ذلك أنّه كان بأرض سبابك تاجر مكثر وكان له أولاد
10,24a24d09-93e6-4a5b-9f83-9d6174f07df6,Sons' Mismanagement of Wealth,سلّم إليهم أمواله فلم يحترفوا بها بل تساهلوا في ذلك تساهلًا يضيّع ذلك المال عليه وعليهم فلامهم أبوهم ووعظهم,فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يكتسبون بها مالًا فلامهم أبوهم ووعظهم,فلمّا كبروا أسرعوا في ماله فلاقاهم ولامهم على ذلك ووعظهم,فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يصيبوا فيها مالًا فلامهم أبوهم ووعظهم,,فلمّا بلغوا أشدّهم أسرعوا في ما أبيهم ولم يكونوا احترفوا بحرفة يكسبون لأنفسهم وأبيهم خيرًا فلامهم أبوهم ووعظهم على سوء فعلهم,فلمّا أدركوا أسرعوا في مال أبيهم ولم يحترفوا يكسبون بها مالًا فلامهم أبوهم ووعظهم,فلمّا أدركوا به أسرعوا في مال أبيهم ولم يتحرّفوا بحرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,*فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,וכאשר נדלו הנערים. החלו עושר אביהם לפור ולהחרים . ולא למדו מלאכה . להיות להם לצרכם ערוכה. וינער בהם אביהם. וכהה בם על רע מעשיהם.,فلمّا أدركوا أخذوا في مال أبيهم ليبذّروه ولم يحترفوا حرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,فلمّا أدركوه شرعوا في مال أبيهم ولم يحترفوا عليه حرفة يكسبون منها شيئًا ?؟فقلادهم وألزمهم على ذلك ووعظهم
11,29b568f2-d01f-41a8-bd07-2d8b0e974e59,Father's Advice: Three Pursuits and Four Necessities,وقال يا بنيّ إنّ صاحب الدنيا يطلب ثلاث أمور لن يدركها إلّا بأربعة أشياء,وكان ممّا قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن تُدرك إلّا بأربعة أشياء,وكان فيما قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور ولا يدركها إلّا بأربعة أشياء,فكان من عظتهم أن قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لا يدركها إلا بأربعة أشياء,,وكان من قوله لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,وكان من قوله لهم أنّه قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لا يدركها إلّا بأربعة أشياء,وقال لهم فيما قال يا بنيّ إنّ أصحاب الدنيا يطلبوا ثلاثة أمور لن يدركها إلّا بأربع أشياء,وكان فيما قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,ויאמר האיש בחרבכם ובקשתכם שביתם. מה המעשה הזה אשר עשיתם. הלא ידעתם כי כל יושבי תבל מאנשי הרעה. יבקש שלשה דברים ולא ישינו כי אם בארבעה.,وقال لهم فيما قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,وقال يا بنيّ إنّ صاحب الدنيا يطلب منها ثلاثة فلا يدركها إلّا بأربعة من الخصال
12,47e4b98f-cd24-48c0-bdda-532143cc19df,Three Worldly Pursuits,السعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا ما يلتمس فهو السعة في المعيشة والمنزلة في الناس والزاد في الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة عند الناس والبلغة إلى الآخرة,فالثلاثة التي تُطلب فالسعة في الرزق والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب فالسعة في الرزق والمنزلة في الناس والزاد في الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب †فالسعة في المعيشة والمنزلة والزاد إلى الأخرة,أمّا الثلاثة التي يطلبها فالسعة في المعيشة والمنزلة في الناس والزاد إلى الأخرة,מחיה ומעלת הגדולים וציידה ליום אחרון אלה הם השלשה.,أمّا الثلاثة التي يلتمسون فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,فأمّا الثلاثة التي يطلبها فالسعة في المعيشة والمنزلة في الناس والزاد للآخرة
13,3a9022c0-c2d0-4fa3-9a4a-24c783812a25,Four Necessities for Achieving Pursuits,وأمّا التي يحتاج إليها وإلى إدراكها فاكتساب المال من معروف وجوهه وحسن القيام عليه والتثمير له وإنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان ليعود عليه في الآخرة نفعه,وأمّا الأربعة التي يحتاج إليها في إدراك هذه الثلاثة فاكتساب المال من أحسن وجوهه ثمّ حسن القيام {لما اكتسب والتثمير له ثمّ} [[عليه ثمّ التثمير]] [ثمّ] إنفاقه فيما يصلح المعيشة ويرضي به الله تعالى والأهل والإخوان ويعود في الآخرة نفعه عليه,وأمّا الذي يحتاج إليها في دركها فاكتساب المال من وجهه وحسن القيام عليه وإنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان وما يعود عليه في الآخرة نفعه,وأمّا الأربعة التي لا تصاب الثلاثة إلّا بها فاكتساب المال من معروف وجهه ثمّ حسن القيام على ما اكتسب منه والتثمير له بعد اكتسابه ثمّ إنفاقه فيما يصلح به معيشته ويرضي به الأهل والإخوان ويعود عليه في الآخرة نفعه,وأمّا الأربعة التي يحتاج إليها في طلب إدراك ذلك فاكتساب المال من أحسن وجهه ثمّ حسن القيام على حسن ما اكتسبه منه ثمّ التميّز له ثمّ إنفاقه فيما يصلح فيه المعيشة والأهل والإخوان ويعود عليه في الآخرة نفعه,وأمّا الأربعة التي يحتاج إليها في درك هذه الثلاثة فاكتساب المال من أحسن وجه ثمّ حسن القيام فيما اكتسب منه ثمّ إنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان فيعود عليهم منفوعه في الآخرة,وأمّا الأربعة التي يحتاج إليها في درك هذه الثلاثة فاكتساب المال من أحسن وجه ثمّ حسن القيام بما اكتسب منه والتميّز له ثمّ إنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان ويعود عليه ما أراد من حاجته,وأمّا الأربعة التي يحتاج إليها في درك هذه الأشياء الثلاثة فاكتساب المال من أحسن وجوهه ثمّ حسن القيام على ما اكتسب منه ثمّ إنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان ويعود في الآخرة نفعه,وأمّا الأربعة التي يحتاج إليها في درك هذه الثلاثة فاكتساب المال من أحسن وجوهه وحسن القيام على ما اكتسب منه ثمّ التثمير له,והארבעה אשר בם ישינו את השלשה. קנות עושר. בתם לבב ובישר. והשני לשמרו לחקן בו מחיתו. והשלישי להכין צידו היום ליום מחרתו. והרביעי להפיק רצון יוצרו ורצון אנשי ביתו ואנשי עירו.,وأمّا الأربعة التي يُحتاج إليها في درك هذه الأربعة فاكتساب المال من معروف وجوهه ثمّ حسن القيام عليه ثمّ التمييز له وإنفاقه فيما يصلح المعيشة ويرضي الإخوان والأهل ويعود عليه في الآخرة نفعه,وأمّا الأربعة التي يحتاج إليها وبها ينال الثلاثة فاكتساب المال من أحسن وجوهه ثمّ القيام الحسن على ما كسب ثمّ التمييز له ثمّ إنفاقه فيما يصلح به حاله ويرضى به إلهه والإخوان ويعود عليه في الآخرة نفعه
14,25ad5514-b68c-4a9e-aa8d-6af89964dfc4,Consequence of Not Acquiring Wealth,,,,,,,لأنّه إن لم يكسب لم يكن له مال يعيش به,,إن هو لم يكتسب لم يكن له مال,ואם כל אלה לא עשה לא ימצא חפצו. ולשוא יהיה יניעו ורוצו. כי אם לא קנה רכוש למאכלת לביתו. תרע לו מחיתו.,,
15,c7137f8e-51d8-415b-ab28-55b1cca663ee,Importance of Avoiding Calamities,,,,ثمّ التوقّي لجميع الآفات جهده,,,,,,,,
16,fe82b839-1ba7-49fc-8909-3513ee32895b,Failure to Achieve Goals Without Proper Management,فمن أضاع ذلك لم يدرك ما أراد وإن هو لم يكتسب لم يكن له مال يعيش به,فمن أضاع شيئا من هذه الخلال الأربع لم يدرك ما أراد {من حاجة} فإنّه إن لم يكتسب لم يكن له مال يعيش به,فمن أضاع ذلك لم يدرك ما أراد وإن هو لم يكتسب لم يكن له مال ولم يعش به,فمن أضاع شيئًا من هذه الخلال الأربع لم يدرك ما أراد لأنّه لم يكتسب ولم يكن ذا مال لم يعش ولم يُعش به,فمن أضاع شيئًا من هذه الخلال الأربعة لم يدرك ما يريد لأنّه إن لم يكتسب لم يكن له مال يعيش به,فمن ضيّع شيئًا من هذه الأحوال لم يدرك ما أراد من حاجته لأنّه لم يكن تسبّب ولم يكن له مال يعيش به,,فمن أضاع شيئًا من هذه الخلال لم يدرك ما أراد إن هو لم يكتسب ثمّ لم يحسن القيام عليه يُوشك أن يفنى ويبقى بغير مال,فمن أضاع من هذه الخلال الأربع خلّة لم يدرك ما أراد,ואם קנה רכוש ולא יכלכל דבריו במשפט' מהרה יאבדנו. כמו חי כמו חרון יסערנו.,فمن أضاع شيئًا من هذا لم يدرك ما أراد وا وإن هو لم يكتسب لم يكن له مال ولم يعش معه أحد,
17,a36ce7c8-9ba9-4438-b35a-46599ce3d692,Consequences of Poor Financial Management,,وإن كان هو ذو مال وذو اكتساب [[ثمّ]] ولم يحسن القيام عليه أوشك أن يفنى ويبقى بغير مال,وإن كان ذا مالٍ واكتسابٍ ثمّ لم يحكم تقديره يوشك أن يفنى ولا يبقى,وإن كان ذا مال واكتساب ولم يصلح له ويحسن القيام عليه أوشك أن ينفد ويقابلا مال,وإن كان ذا مال واكتساب ثمّ لم يحسن القيام أوشك أن يبقى هو بغير مال,وإن هو كان ذا مال واكتساب ثمّ لم يحسن القيام به أوشك أن يفنى ويبقى معدمًا,وإن هو كان ذا مال واكتساب ثمّ لم يحسن القيام به أوشك أن يفنى ماله ويبقي بغير مال,وإن كان ذا تقتّر في نفقته ولم يثمّره †ولم ينفعه ذلك التقتير وقلّة الإنفاق من سرعة الفنى والنفاد,وإن اكتسب ثمّ لم يحسن القيام عليه أوشك أن يفنى ويبقى بلا مال,ונם אם בסחורה ובתחבולות לא יסעדנו. עבור שאינו מכלותו לא ימנענו.,وإن كان ذا مال واكتساب ثمّ لم يحكم تدبيره ولم يحسن القيام عليه أوشك أن يفنى ويبقى ليس له مال,
18,bfb59f61-1d24-420a-9848-4e6ab012a1aa,Rapid Depletion of Poorly Managed Wealth,وإن هو أضاعه لم تمنعه قلّة الإنفاق من سرعة النفاد,وإن هو أنفقه ولم يثمّره لم تمنعه قلّة الإنفاق من سرعة النفاق,,وإن هو أنفقه ولم يثمّره لم يمنعه قلّة الإنفاق من سرعة النّفاد,وإن أنفقه ولم يثمّره لم تمنعه قلّة الإنفاق من سرعة النّفاد,وإن هو وضعه ولم يستثمر لم تمنعه قلّة الإنفاق من سرعة الذهاب,وإن هو وضعه ولم يثمّره لم تمنعه قلّة الإنفاق من سرعة النفاذ,,وإن هو أنفقه من غير نظر وتدبير فما أسرع نفاده,,وإن هو مسكه ولم يثمره لم يمنعه قلّة الإنفاق من سرعة الذهاب,
19,65bae3f6-72ab-4534-909f-9cdaa79d5785,Analogy of Rapidly Depleting Kohl,كالكحل الذي لا يُؤخذ منه إلّا ما هو شبيه بالغبار ثمّ هو مع ذلك سريع النفاد والفناء,كالكحل الذي لا يؤخذ منه إلّا مثل الغبار ثمّ هو مع ذلك سريع فناؤه,وليس له مثل إلّا الآل الذي لا يوجد منه إلّا مثل الهناء وهو مع ذلك سريعٌ فناؤه,كالكحل الذي لا يؤخذ منه مثل الغبار ثمّ هو مع ذلك سريع نفاذه,كالكحل الذي لا يؤخذ منه إلا مثل الغبار وهو مع ذلك إذا استُعمل سريع فناؤه,كالكحل الذي لا يؤخذ منه إلّا غبار الميل ثمّ هو مع ذلك سريع فناءه,كالكحل الذي لا يُؤخذ منه إلّا مثل الغبار ثمّ هو مع ذلك سريع فناؤه,كالكحل الذي لا يُؤخذ منه إلّا مثل الغبار ما علق في المبلّ ثمّ †هو مع ذلك سريع النفاد والفناء,كالكحل الذي لا يُؤخذ منه إلّا شبه الغبار ثمّ هو مع ذلك سريع فناؤه,כי הפוך אשר לא יקחו ממנו כי אם מעט כשחק מאונים. לכחול העינים. הפך ומוצאיו יכלו נם העינים תכלינה. כי ההרים ימושו והנגבעות תמוטנה. ואם,كالكحل الذي لا يؤخذ منه إلّا مثل الغبار وهو مع ذلك سريع نفاذه,
20,3e121e0a-652c-4b30-80b9-b5913b4e826f,Proper Spending for Worldly and Afterlife Benefits,,,,,,,,,إن هو أنفقه ثمّ إنفاقه فيما يصلح المعيشة ويرضي الأهل والإخوان يعود في الآخرة نفعه ولم يمنعه بخله في إنفاقه,,,
21,f6d27482-cc81-47a8-af1c-e995fa2546a5,Consequences of Miserliness and Mismanagement,وإن هو اكتسب وأصلح وأمسك عن وضعه في مواضعه كان ممّن يُعدّ فقيرًا ثمّ إنّ عدم وضعه في مواضعه لا يمنعه من أن يضيع في غير مراده واختياره,وإن كانت نفقته في غير مواضع الحقوق كان بمنزلة الفقير الذي لا مال له ثمّ لم ينفعه ذلك من تلاف المال للمقادير والعلل,وإن هو اكتسب وأصلح ثمّ أمسك عن وضعه في أبوابه كان ممنًا فقيرًا ثمّ لم يمنع ذلك ماله من أن يفارقه ويذهب حيث لا يريد,وإن هو اكتسب وأصلح وأثمر ثمّ أمسك عن إنفاقه في وجوهه ومواضعه كان ممّن يُعدّ فقيرًا لا مال له ثمّ لا يمنع ذلك ماله من أن يفارقه ويذهب حيث لا يريد بالمقادير والعلل,ومن اكتسب مالًا ولم ينفق منه في أبوابه ولا مواضعه كان ممّن يُعدّ فقيرًا لا مال له ثمّ لا يمنع ذلك ماله من أن يفارقه ويذهب حيث لا يدرك منه شيئًا,وإن أنفقه في غير وجهه ووضعه في غير موضعه وأخطأ به مواضع استحقاقه صار بمنزلة الفقير الذي لا مال له ثمّ لم يمنع ماله من التلف بالحوادث والعلل التي تجري عليه,وإن هو لم ينفقه في مواضعه كان بمنزلة الفقير الذي لا مال له ثمّ لم يمنع ذلك ماله من التلف بالمقادير والعلل التي تجري عليه,وإن هو اكتسب وأصلح وأيسر ثمّ أمسك ثمّ لا يأمن أن يفارقه ويذهب حيث لا يدرك منه شيئًا,وإن هو اكتسب وأصلح وثمّر ثمّ أمسك عن إنفاق المال في أبوابه ومواضعه كان ممّن يُعدّ فقيرًا ليس له مال ثمّ لم يمنع ذلك ماله من أن يفارقه من حيث لا يدرك منه شيئًا,רכש רכוש וכלכלו במשפט ותקנו. ובמקומות רצון אל לא נתנו. ויאבד כאחד הדלים והרשים. נבזה וחדל אישים.,وإن هو اكتسب وأصلح ثمّ أمسك عن وضعه في أثوابه كان ممّن يُعدّ فقيرًا لا مال له ولم يمنع ذلك ماله من أن يسافر به ويذهب حيث لا يريد فلا يدرك منه شيئًا,
22,ee1ee32b-7bb5-4cfb-9980-1a5fcac5d360,Analogy of Overflowing Water Reservoir,كالمياه التي تجتمع إلى مكان ولا تزال تصبّ في ذلك المكان حتّى إذا زادت عن الحدّ سالت من سائر النواحي وربّما انبثق المكان فذهب الماء ضياعًا وفسادًا,كالمكان الذي لا تزال تنصب فيه المياه فإنّه إن لم يكن له مخرج ومغيض يخرج منه الماء بقدر الذي يدخل انبجس وسال من نواحي كثيرة وربما انبثق البثق العظيم فذهب ماؤه ضياعًا,,كمستأجر الماء الذي لا تزال المياه تنصبّ فإن لم يكن له مفيض ومخرج يخرج منه بقدر ما يفضل عنه انبثق البثق الذي لا يقادر وذهب الماء ضياعًا وفسادًا,كحابس الماء الذي لا تزال المياه تصبّ فيه فإذا لم يكن له مخرج ومفيض تخرج منه بالقدر سال من نواحٍ كثيرة وربّما انبثق البثق العظيم فيذهب الماء ضياعًا,كمخيّس الماء الذي لا تزال المياه تنصبّ فيه فإن لم يكن له مخرج ومغيض ومتنفّس يخرج الماء منه بقدر ما ينبغي خرب وسال وترّ من نواحي كثيرة وربّما انبثق البثق العظيم فيذهب الماء ضياعًا,كضريح الماء الذي لا تزال المياه تنصبّ إليه فإذا لم يكن له مخرج ومغيض يخرج منه الماء بقدر ما ينبغي تحلّب وسال من نواحي كثيرة وربّما انشقّ منه الشقّ العظيم فيذهب الماء ضياعًا,كحبس الماء الذي لا يزال المياه تصبّ فيه فإذا لم يكن له مخرجًا ومغيضًا يخرج منه بالقدر الذي ينبغي تحلّب وسال من نواحي كثيرة وربّما انبثق البثق الكبير العظيم فيذهب الماء ضياعًا,كمحبس الماء الذي لا يزال المياه تنصبّ إليه فإذا لم يكن له مخرج ومغيض بالقدر الذي ينبغي أوشك أن تنبثق بثوق فيذهب الماء ضياعًا,ויתנודד ממונו על אפו . זהבו וכספו. ויאבד כל קנינו. בדברים שלא כרצונו. כמו כיור אשר תמיד יבאו בו מים ובהמלאו ישתפכו. אל אשר שם לא נמשכו. ואם לא ימצאו המים מוצא הביור ההוא יקרע. וילכו המים אל מקום אשר לא יעבד בו ולא יזרע.,كسجر الماء الذي لا تزال المياه تصبّ فيه فإن هي لم تجد مخرجًا تفيض منه بقدر الذي ينبغي لها تجلّبت ومالت من نواحٍ كثيرة وربّما انبثق البثق فيذهب الماء ضياعًا,
23,ce0f6aef-60eb-4b2f-a9f8-b33f6d32853f,Sons' Acceptance of Father's Advice,ثمّ إنّ بني التاجر اتّعظوا وأخذوا برأي أبيهم,ثمّ إنّ بني التاجر اتّعظوا وأخذوا بأمر أبيهم,ثمّ إنّ بني التاجر اتّعظوا من كلام أبيهم وأخذوا برأيه,ثمّ إنّ بنى التاجر أيقظوا وأخذوا بأمر أبيهم,ثمّ إنّ ابني التاجر انقطعوا عن البذخ وأخذوا برأي أبيهم,ثمّ إنّ بني الشيخ اتّعظوا بقول أبيهم وأخذوا به وعلموا أنّ فيه الخير وعملوا عليه,ثمّ إنّ بني التاجر اتّعظوا وأخذوا بقول أبيهم,ثمّ إنّ بنو التاجر اتّعظوا وأخذوا برأي أبيهم,ثمّ إنّ بني التاجر اتّعظوا بقول أبيهم وأخذوا برأيه,וכאשר יוכיח הסוחר את בניו נוכחו. ומומר אביהם לקחו.,ثمّ إنّ بني التاجر اتّعظوا وأخذوا بقول أبيهم,ثمّ إنّ أولاد التاجر اتّعظوا وعملوا برأي أبيهم
24,fa20461f-cc9e-4720-95d3-b9732747056e,Eldest Son's Journey and Ox Cart Incident,فانطلق أكبرهم متوجّهًا بتجارة إلى مدينة يُقال لها منون فأتى في طريقه على مكان شديد الوحل وكان معه عجلة يجرّها ثوران أحدهما يُقال له شتربة والآخر نبذة,فانطلق أحدهم متوجّهًا نحو أرض يُقال لها سورقان فمرّ في طريقه على مكان فيه وحل شديد ومعه عجلة يجرّها ثوران أحدهما يُسمّى شتربة والآخر بيدنة,وانطلق كبيرهم إلى أرض يقال لها سيورا فأتى على طريقه بمكان شديد الوحل ومعه عجلة يجرّها ثوران يدعى أحدهما شتربة والآخر بيده,فانطلق كبيرهم في تجارة متوجهًا إلى أرض يُقال لها منود فمرّ في طريقه ذلك بمكان فيه وحل شديد ومعه عجلة يجرّها ثوران يُقال لأحدهما شتربة والآخر نندبة,وانطلق أكبرهم متوجّها نحو أرض يقال لها منون فأتى في طريقه على مكان ذو وحل كثير ومعه عجلة يجرّها ثوران اسم أحدهما شتربة والآخر تندية,فانطلق أكبرهم نحو أرض يقال لها ميون فأتى في طريقه على مكان في وحل وكان معه عجلة يجرّها ثوران يقال لأحدهما شتربة والآخر بندبة,فانطلق أكبرهم بتجارة متوجّهًا نحو أرض يُقال لها متوث فأتى في طريقه على مكان فيه وحل كثير وكان معه عجلة يجرّها ثوران يُقال لأحدهما شبربة والآخر بندبة,فانطلق أكبرهم نحو أرض يُقال لها *منون فأتى في مكان في طريقه فيه وحل شديد ومعه عجلة يجرّها ثوران يُسمّى الواحد شتربة والآخر بندبة,فانطلق الأكبر متوجّهًا نحو أرض يُقال لها منون فأتى في طريقه على مكان فيه وحل شديد كثير ومعه عجلة يجرّها ثوران يُدعى أحدهما شتربة والآخر بيدبة فوحل شتربة في ذلك الوحل فاستخرجه الرجل بعد جهد شديد وتعب,וילך האח הגדול בסחורה אל ארץ ניור ויהיו הדרכים והחוצות. מלאים טיט ובצות. ועמו ענלה ישאוהו שני שורים שם האחד שנזבה. ושם השני בנרבה.,فانطلق أحدهم متوجّها بتجارة إلى أرض يقال لها ميور فأتى في طريقه على مكان شديد الوجل ومعه عجلة يجرّها ثوران يقال لأحدهما شتربة والآخر بندبة,فانطلق أكبرهم نحو أرض يُقال لها منور فأتى في طريقه على مكان فيه وحل كثير وكانت معه عجلة يجرّها ثوران يسمّى أحدهما شيزبه والآخر بيدبه
25,4f52cc7b-486c-4908-aa8c-a7077657ad33,Ox Getting Stuck in Mud,فوحل شتربة في ذلك المكان فاستخرجه الرجل وأعوانه بعد ما كاد يتلف ولم يبق فيه قوّة على السير,فوحل شتربة في ذلك المكان فعالجه الرجل وأعوانه حتّى استخرجه بعد ما بلغه الجهد,فوحل شتربه فاستخرجه هو وأعوانه من بعد ما بلغه من الجهد مبلغ وأشرف على الهلاك,فوحل شتربة في ذلك الوحل فعاجله الرجل وأعوانه حتّى إذا أخرجوه بعد ما بلغه الجهد لم يطق حراكًا,فوحل شتربة في ذلك الوحل واستخرجه الرجل وأعوانه بعد بلوغه الجهد,فوحل شتربة بذلك المكان فعالجه الرجل وأصحابه حتّى بلغهم الجهد فلم يقدروا على إخراجه,فوحل شبربة في ذلك المكان فعالجه الرجل وأصحابه حتّى استخرجوه بعدما بلغه الجهد,فوحل شتربة في ذلك الوحل فاستخرجه الرجل وأعوانه بعد ما بلغه الجهد,,וישבע שנובה בטיט. ומכביד עליו עבטיט. והנער רץ לקראתו. ויאמר מת שנובה ברוב חילו. כחש,فوحل شتربة في ذلك المكان فاستخرجه الرجل وأعوانه بعد أن بالغه الجهد وأشرف على الهلاك,فوحل شيزبه في ذلك الوحل فجهد فيه ليخلصه حتّى أخرجه
